fips_county,fast_food,grocery
08097,26.0,5.0
08099,13.0,
08101,104.0,12.0
08103,3.0,
08105,,3.0
08107,24.0,9.0
08109,,5.0
08111,5.0,
08113,12.0,5.0
08117,49.0,9.0
08119,16.0,7.0
08123,185.0,33.0
08125,,3.0
09001,756.0,211.0
09003,658.0,235.0
09005,110.0,38.0
09007,122.0,33.0
09009,683.0,203.0
09011,216.0,41.0
09013,74.0,17.0
09015,63.0,20.0
10001,118.0,26.0
10003,477.0,106.0
10005,174.0,39.0
11001,864.0,168.0
12001,219.0,41.0
12003,17.0,4.0
12005,150.0,32.0
12007,14.0,3.0
12009,369.0,81.0
12011,1431.0,352.0
12013,5.0,
12015,77.0,23.0
12017,60.0,18.0
12019,133.0,23.0
12021,232.0,69.0
12023,46.0,8.0
12027,13.0,6.0
12029,6.0,3.0
12031,848.0,178.0
12033,212.0,47.0
12035,59.0,17.0
12037,4.0,6.0
12039,24.0,5.0
12041,7.0,3.0
12045,7.0,
12047,7.0,
12049,8.0,6.0
12051,20.0,11.0
12053,112.0,27.0
12055,52.0,13.0
12057,931.0,280.0
12059,5.0,3.0
12061,90.0,28.0
12063,31.0,8.0
12065,9.0,
12069,176.0,46.0
12071,433.0,113.0
12073,301.0,36.0
12075,20.0,10.0
12077,,3.0
12079,12.0,3.0
12081,189.0,58.0
12083,204.0,52.0
12085,111.0,37.0
12086,1774.0,639.0
12087,64.0,31.0
12089,60.0,10.0
12091,190.0,30.0
12093,15.0,13.0
12095,1197.0,231.0
12097,262.0,58.0
12099,1029.0,269.0
12101,261.0,63.0
12103,742.0,211.0
12105,378.0,94.0
12107,35.0,12.0
12109,172.0,30.0
12111,171.0,47.0
12113,107.0,16.0
12115,199.0,84.0
12117,383.0,70.0
12119,38.0,13.0
12121,25.0,6.0
12123,14.0,4.0
12125,4.0,
12127,341.0,78.0
12129,12.0,
12131,62.0,11.0
12133,16.0,3.0
13001,12.0,3.0
13003,5.0,4.0
13005,10.0,3.0
13009,44.0,8.0
13011,15.0,
13013,47.0,11.0
13015,72.0,14.0
13017,10.0,
13019,10.0,3.0
13021,192.0,31.0
13023,7.0,
13025,6.0,
13027,8.0,3.0
13029,34.0,7.0
13031,62.0,11.0
13033,13.0,3.0
13035,18.0,
13039,41.0,7.0
13043,10.0,3.0
13045,106.0,22.0
13047,55.0,9.0
13049,6.0,
13051,304.0,54.0
13053,4.0,
13055,14.0,5.0
13057,166.0,34.0
13059,122.0,25.0
13063,206.0,53.0
13065,7.0,
13067,720.0,111.0
13069,30.0,7.0
13071,30.0,12.0
13073,105.0,22.0
13075,15.0,
