County,meanPovertyRate,meanFamilyIncome,percentLowFoodAccess
Bedford County,11.521621621621621,64930.48648648649,16.216216216216218
Bee County,18.442857142857143,51307.857142857145,42.857142857142854
Belknap County,8.54,81469.73333333334,6.666666666666667
Bell County,18.81527777777778,56289.68571428571,30.555555555555557
Belmont County,16.029999999999998,60757.55,15.0
Beltrami County,17.93,59182.3,50.0
Ben Hill County,28.76,45480.2,40.0
Benewah County,16.0,54056.5,50.0
Bennett County,34.1,53130.0,50.0
Bennington County,10.4,70321.75,8.333333333333332
Benson County,27.625,54502.5,25.0
Bent County,22.9,42883.0,100.0
Benton County,13.693382352941176,74987.5895522388,15.441176470588236
Benzie County,9.92,67596.2,0.0
Bergen County,7.161452513966481,122120.79888268157,0.0
Berkeley County,13.489655172413793,67585.1724137931,20.689655172413794
Berks County,15.46111111111111,68702.7,3.3333333333333335
Berkshire County,11.130769230769232,76836.56410256411,23.076923076923077
Bernalillo County,17.527450980392157,68704.22516556291,10.457516339869281
Berrien County,18.48148148148148,59093.57407407407,22.22222222222222
Bertie County,23.225,45674.25,75.0
Bethel Census Area,25.766666666666666,58649.0,66.66666666666666
Bexar County,17.25945205479452,68590.43093922651,19.17808219178082
Bibb County,29.572916666666668,50560.9375,31.25
Bienville Parish,28.24,42855.8,40.0
Big Horn County,21.65,56871.5,50.0
Big Stone County,10.933333333333332,70338.66666666667,0.0
Billings County,8.6,106964.0,0.0
Bingham County,13.65,59718.5,12.5
Black Hawk County,18.544736842105266,64743.86842105263,26.31578947368421
Blackford County,12.8,53719.0,25.0
Bladen County,26.233333333333334,42648.833333333336,50.0
Blaine County,18.321428571428573,58453.357142857145,28.57142857142857
Blair County,17.11470588235294,60819.14705882353,5.88235294117647
Blanco County,9.45,66178.0,0.0
Bland County,8.35,66473.5,50.0
Bleckley County,22.96666666666667,51927.666666666664,33.33333333333333
Bledsoe County,20.53333333333333,52484.0,0.0
Blount County,12.49189189189189,64567.0,0.0
Blue Earth County,18.08125,71872.0,25.0
Boise County,13.1,66304.0,0.0
Bolivar County,36.8875,36448.0,50.0
Bollinger County,16.833333333333332,52991.333333333336,0.0
Bon Homme County,10.5,68802.0,0.0
Bond County,13.575,77068.75,25.0
Bonner County,15.366666666666665,59253.22222222222,11.11111111111111
Bonneville County,12.423809523809522,68625.76190476191,4.761904761904762
Boone County,14.756043956043955,74745.17777777778,13.186813186813188
Borden County,2.6,96691.0,0.0
Bosque County,14.457142857142856,57242.0,14.285714285714285
Bossier Parish,20.995454545454546,59128.0,27.27272727272727
Botetourt County,9.0,82353.375,25.0
Bottineau County,10.066666666666666,75192.66666666667,0.0
Boulder County,12.725,110297.41791044777,1.4705882352941175
Boundary County,16.85,59740.5,0.0
Bourbon County,16.072727272727274,59551.0,36.36363636363637
Bowie County,20.311111111111114,56161.22222222222,11.11111111111111
Bowman County,7.5,90208.5,0.0
Box Butte County,11.700000000000001,72166.33333333333,0.0
Box Elder County,8.963636363636363,67826.54545454546,9.090909090909092
Boyd County,21.835714285714285,55191.642857142855,35.714285714285715
Boyle County,15.200000000000001,57247.57142857143,14.285714285714285
Bracken County,17.633333333333333,65402.0,0.0
Bradford County,14.161111111111111,61971.77777777778,0.0
Bradley County,20.220833333333335,54197.166666666664,29.166666666666668
Branch County,14.516666666666666,60070.25,16.666666666666664
Brantley County,24.03333333333333,48297.666666666664,33.33333333333333
Braxton County,21.5,51888.0,33.33333333333333
Brazoria County,11.398,83015.42,8.0
Brazos County,25.77560975609756,66221.10256410256,34.146341463414636
Breathitt County,35.01428571428571,34386.28571428572,14.285714285714285
Breckinridge County,17.016666666666666,63530.333333333336,0.0
Bremer County,9.625,82890.5,0.0
Brevard County,13.4125,67635.07207207207,19.642857142857142
Brewster County,12.833333333333334,60940.666666666664,33.33333333333333
Briscoe County,15.6,54200.0,100.0
Bristol Bay Borough,5.8,98472.0,0.0
Bristol County,13.125735294117646,81659.91176470589,7.352941176470589
Bristol city,24.15,48472.0,75.0
Broadwater County,8.05,67309.0,0.0
Bronx County,27.666071428571428,51269.83486238532,0.0
Brooke County,13.566666666666668,62723.166666666664,16.666666666666664
Brookings County,15.25,83330.66666666667,33.33333333333333
Brooks County,29.357142857142858,41914.857142857145,42.857142857142854
Broome County,19.29090909090909,63560.01851851852,5.454545454545454
Broomfield County,5.026666666666667,113682.26666666666,6.666666666666667
Broward County,13.645152354570635,73499.75833333333,4.986149584487535
Brown County,12.56039603960396,68870.39,11.881188118811881
Brule County,17.75,54509.0,50.0
Brunswick County,13.118918918918919,67048.22222222222,8.108108108108109
Bryan County,16.91764705882353,61649.0,17.647058823529413
Buchanan County,18.16578947368421,59214.15789473684,7.894736842105263
Buckingham County,17.05,56538.25,50.0
Bucks County,6.439436619718309,109041.73943661971,5.633802816901409
Buena Vista County,12.0,69785.83333333333,0.0
Buena Vista city,20.1,46216.0,100.0
Buffalo County,14.935294117647059,68215.88235294117,11.76470588235294
Bullitt County,10.13529411764706,72213.70588235294,5.88235294117647
Bulloch County,31.516666666666666,49769.666666666664,16.666666666666664
Bullock County,30.666666666666668,39524.666666666664,66.66666666666666
Buncombe County,13.271428571428572,70509.23214285714,12.5
Bureau County,12.5,68229.5,10.0
Burke County,19.248,53351.64,24.0
Burleigh County,8.789473684210526,89849.21052631579,5.263157894736842
Burleson County,11.34,65588.0,20.0
Burlington County,7.069298245614035,102289.54385964913,7.894736842105263
Burnet County,10.55,71494.25,0.0
Burnett County,13.549999999999999,60248.833333333336,16.666666666666664
Burt County,11.700000000000001,66010.66666666667,0.0
Butler County,14.446745562130177,73744.38554216867,18.93491124260355
Butte County,20.42962962962963,64435.79245283019,29.629629629629626
Butts County,23.933333333333334,50767.666666666664,33.33333333333333
Cabarrus County,12.697297297297297,74458.48648648648,18.91891891891892
Cabell County,28.73448275862069,50766.03571428572,3.4482758620689653
Cache County,15.23076923076923,65966.92307692308,3.8461538461538463
Caddo County,19.5,56352.625,12.5
Caddo Parish,25.938095238095237,55194.15873015873,39.682539682539684
Calaveras County,12.01,74943.44444444444,0.0
Calcasieu Parish,18.507142857142856,62450.30952380953,21.428571428571427
Caldwell County,16.483333333333334,56249.96666666667,36.666666666666664
Caldwell Parish,27.266666666666666,49311.666666666664,0.0
Caledonia County,12.29,65088.1,0.0
Calhoun County,19.098969072164948,54532.4,30.927835051546392
Callahan County,14.066666666666668,61686.666666666664,0.0
Callaway County,11.924999999999999,66944.5,12.5
Calloway County,24.41111111111111,58136.0,11.11111111111111
Calumet County,5.763636363636364,84760.72727272728,27.27272727272727
Calvert County,5.027777777777778,119488.77777777778,5.555555555555555
Camas County,23.3,55875.0,100.0
Cambria County,17.909523809523808,58523.166666666664,14.285714285714285
Camden County,13.015333333333333,83799.46,12.666666666666668
Cameron County,32.53678160919541,41317.976744186046,35.63218390804598
Cameron Parish,10.95,67125.0,0.0
Camp County,19.8,53614.0,33.33333333333333
Campbell County,15.992857142857144,67532.30357142857,12.5
Canadian County,9.96206896551724,78086.58620689655,10.344827586206897
Candler County,32.43333333333333,38412.0,0.0
Cannon County,15.100000000000001,61489.666666666664,0.0
Canyon County,17.851724137931036,54029.55172413793,20.689655172413794
Cape Girardeau County,21.85,61351.9375,6.25
Cape May County,9.8875,85758.53125,18.75
Carbon County,13.114814814814816,66629.85185185185,14.814814814814813
Caribou County,8.7,67430.5,0.0
Carlisle County,18.966666666666665,53291.333333333336,0.0
Carlton County,12.242857142857144,73030.28571428571,28.57142857142857
Caroline County,12.35625,69384.125,12.5
Carroll County,11.71764705882353,77998.27731092437,8.403361344537815
Carson City,12.653846153846153,69579.0,0.0
Carson County,6.8,84482.0,0.0
Carter County,21.942105263157895,50485.65789473684,34.21052631578947
Carteret County,11.416666666666666,69843.41666666667,5.555555555555555
Carver County,3.7526315789473683,126836.1052631579,0.0
Cascade County,15.05909090909091,60497.90909090909,13.636363636363635
Casey County,27.560000000000002,42152.8,40.0
Cass County,12.787037037037036,70502.31481481482,14.814814814814813
Cassia County,14.033333333333331,58521.666666666664,0.0
Castro County,13.6,58297.666666666664,0.0
Caswell County,18.166666666666668,56375.0,16.666666666666664
Catahoula Parish,24.0,53403.333333333336,33.33333333333333
Catawba County,14.070967741935483,62920.967741935485,19.35483870967742
Catoosa County,9.60909090909091,67280.18181818182,9.090909090909092
Catron County,22.9,50286.0,100.0
Cattaraugus County,16.994999999999997,59824.9,5.0
Cavalier County,10.1,84596.0,0.0
Cayuga County,12.163157894736841,69114.73684210527,5.263157894736842
Cecil County,9.610526315789473,86927.63157894737,26.31578947368421
Cedar County,10.72,68939.7,20.0
Centre County,21.593548387096774,84349.10714285714,9.67741935483871
Cerro Gordo County,10.318181818181818,72609.45454545454,18.181818181818183
Chaffee County,10.440000000000001,69576.2,0.0
Chambers County,16.907142857142855,61937.642857142855,21.428571428571427
Champaign County,22.464150943396223,74718.51020408163,5.660377358490567
Chariton County,11.699999999999998,62061.0,0.0
Charles City County,13.066666666666668,72113.33333333333,0.0
Charles County,6.406666666666667,104528.43333333333,10.0
Charles Mix County,19.233333333333334,57660.333333333336,0.0
Charleston County,17.759999999999998,83857.98809523809,15.294117647058824
Charlevoix County,10.86153846153846,67931.30769230769,0.0
Charlotte County,11.914634146341463,61073.365853658535,19.51219512195122
Charlottesville city,24.083333333333332,84234.36363636363,8.333333333333332
Charlton County,21.55,55700.0,50.0
Chase County,10.5,62309.5,0.0
Chatham County,19.152380952380952,66700.14814814815,21.428571428571427
Chattahoochee County,11.8,50400.25,60.0
Chattooga County,19.783333333333335,46825.333333333336,50.0
Chautauqua County,19.458333333333332,59130.97142857143,22.22222222222222
Chaves County,20.94375,53646.75,31.25
Cheatham County,11.233333333333333,69982.88888888889,0.0
Cheboygan County,14.524999999999999,57468.5,25.0
Chelan County,11.057142857142859,70778.57142857143,21.428571428571427
Chemung County,17.304545454545455,59705.619047619046,13.636363636363635
Chenango County,14.958333333333334,61194.166666666664,8.333333333333332
Cherokee County,15.13132530120482,64640.903614457835,19.27710843373494
Cherry County,11.149999999999999,62656.0,0.0
Chesapeake city,9.426829268292684,84841.17073170732,19.51219512195122
Cheshire County,10.79375,79783.125,18.75
Chester County,8.846153846153847,111649.14728682171,8.461538461538462
Chesterfield County,10.092592592592593,84632.58024691358,9.876543209876543
Cheyenne County,10.42,73859.6,0.0
Chickasaw County,14.3,60576.875,12.5
Chicot County,29.85,41166.5,50.0
Childress County,12.45,66271.5,50.0
Chilton County,17.91111111111111,56950.88888888889,11.11111111111111
Chippewa County,13.414814814814815,62720.61538461538,18.51851851851852
Chisago County,5.75,91425.5,0.0
Chittenden County,13.355882352941178,91973.18181818182,0.0
Choctaw County,26.241666666666664,48690.083333333336,50.0
Chouteau County,16.5,53902.5,50.0
Chowan County,20.566666666666666,51256.666666666664,33.33333333333333
Christian County,15.371428571428572,59295.0,16.666666666666664
Churchill County,12.214285714285714,59418.28571428572,14.285714285714285
Cibola County,27.32857142857143,44795.142857142855,42.857142857142854
Cimarron County,16.3,57781.5,0.0
Citrus County,16.94814814814815,51156.444444444445,14.814814814814813
Clackamas County,9.1775,96035.34177215189,8.75
Claiborne County,28.958333333333332,43047.0,33.33333333333333
Claiborne Parish,29.78,37945.6,40.0
Clallam County,16.39047619047619,64984.09523809524,14.285714285714285
Clare County,23.29090909090909,48157.09090909091,0.0
Clarendon County,23.681818181818183,49536.181818181816,9.090909090909092
Clarion County,15.52,59621.1,30.0
Clark County,14.148126801152737,69247.4329004329,7.492795389048991
Clarke County,29.34285714285714,62002.234042553195,38.775510204081634
Clatsop County,10.845454545454546,69679.27272727272,0.0
Clay County,14.430714285714286,67475.12142857142,15.0
Clayton County,19.28363636363636,51793.94545454546,40.0
Clear Creek County,7.233333333333333,82556.0,33.33333333333333
Clearfield County,15.01,58231.9,25.0
Clearwater County,15.680000000000001,58113.4,40.0
Cleburne County,15.663636363636364,53670.27272727273,0.0
Clermont County,9.370000000000001,82726.69230769231,12.5
Cleveland County,16.60813953488372,68270.33333333333,13.953488372093023
Clinch County,42.599999999999994,36312.5,0.0
Clinton County,13.457446808510639,69188.97826086957,9.574468085106384
Cloud County,11.625,58196.0,25.0
Coahoma County,33.0,39146.142857142855,28.57142857142857
Coal County,22.3,54828.5,50.0
Cobb County,10.111666666666668,94129.55833333333,10.0
Cochise County,18.55,54899.625,46.875
Cochran County,23.9,61667.0,100.0
Cocke County,21.68888888888889,43630.0,44.44444444444444
Coconino County,20.264285714285712,69438.0,28.57142857142857
Codington County,12.042857142857143,71164.57142857143,0.0
Coffee County,16.83142857142857,56017.14705882353,17.142857142857142
Coffey County,11.933333333333332,74837.0,0.0
Coke County,15.65,59228.5,50.0
Colbert County,17.685714285714287,55345.71428571428,14.285714285714285
Cole County,11.673333333333334,70867.0,13.333333333333334
Coleman County,18.5,58945.666666666664,66.66666666666666
Coles County,22.633333333333336,60548.416666666664,50.0
Colfax County,17.666666666666668,57585.166666666664,33.33333333333333
Colleton County,20.822222222222223,48889.555555555555,44.44444444444444
Collier County,11.847945205479451,88258.42465753424,15.068493150684931
Collin County,6.807236842105263,113100.02631578948,2.631578947368421
Collingsworth County,15.9,50761.0,0.0
Colonial Heights city,14.24,68698.2,20.0
Colorado County,11.0,57728.4,40.0
Colquitt County,26.68,42519.4,40.0
Columbia County,12.851041666666667,72723.80208333333,7.291666666666667
Columbiana County,16.045833333333334,56703.583333333336,12.5
Columbus County,23.292307692307695,48258.307692307695,7.6923076923076925
Colusa County,13.5,63739.4,20.0
Comal County,8.870833333333334,88117.75,12.5
Comanche County,17.95405405405405,58666.24324324324,13.513513513513514
Concho County,7.3,57875.0,0.0
Concordia Parish,25.46,48563.4,40.0
Conecuh County,22.02,41969.6,60.0
Conejos County,22.8,47476.5,0.0
Contra Costa County,9.103381642512078,116054.28985507246,7.246376811594203
Converse County,8.275,81785.25,0.0
Conway County,16.933333333333334,54227.0,33.33333333333333
Cook County,17.155378787878785,82902.38672768879,3.939393939393939
Cooke County,16.175,64542.875,12.5
Cooper County,11.459999999999999,62350.2,0.0
